Name;Group;Indication
arsenic trioxide;Antineoplastic agents;"Arsenic trioxide is indicated for induction of remission, and consolidation in adult patients with:  Newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) (white blood cell count, ? 10 x 103/?l) in combination with all-trans-retinoic acid (ATRA) Relapsed/refractory acute promyelocytic leukaemia (APL)(Previous treatment should have included a retinoid and chemotherapy) characterised by the presence of the t(15;17) translocation and/or the presence of the promyelocytic leukaemia/retinoic-acid-receptor-alpha (PML/RAR-alpha) gene.The response rate of other acute myelogenous leukaemia subtypes to arsenic trioxide has not been examined."
lecanemab;Psychoanaleptics;"Leqembi is indicated for the treatment of adult patients with a clinical diagnosis of mild cognitive impairment and mild dementia due to Alzheimer’s disease (Early Alzheimer’s disease) who are apolipoprotein E 4 (ApoE&nbsp;ε4) non-carriers or heterozygotes with confirmed amyloid pathology (see section 4.4)."
enzalutamide;Endocrine therapy;Xtandi is indicated for:  as monotherapy or in combination with androgen deprivation therapy for the treatment of adult men with high risk biochemical recurrent (BCR) non-metastatic hormone sensitive prostate cancer (nmHSPC) who are unsuitable for salvage radiotherapy (see section 5.1). the treatment of adult men with metastatic hormone-sensitive prostate cancer (mHSPC) in combination with androgen deprivation therapy (see section 5.1). the treatment of adult men with high-risk non-metastatic castration-resistant prostate cancer (CRPC) (see section 5.1). the treatment of adult men with metastatic CRPC who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated (see section 5.1). the treatment of adult men with metastatic CRPC whose disease has progressed on or after docetaxel therapy.
arsenic trioxide;Antineoplastic agents;"Trisenox is indicated for induction of remission, and consolidation in adult patients with:  Newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) (white blood cell count, ? 10 x 103/µl) in combination with all?trans?retinoic acid (ATRA) Relapsed/refractory acute promyelocytic leukaemia (APL) (previous treatment should have included a retinoid and chemotherapy)  characterised by the presence of the t(15;17) translocation and/or the presence of the Pro-Myelocytic Leukaemia/Retinoic-Acid-Receptor-alpha (PML/RAR-alpha) gene. The response rate of other acute myelogenous leukaemia subtypes to arsenic trioxide has not been examined."
arsenic trioxide;Antineoplastic agents;"Arsenic trioxide medac is indicated for induction of remission, and consolidation in adult patients with:  Newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) (white blood cell count, ? 10 x 10³/?l) in combination with all-trans-retinoic acid (ATRA) Relapsed/refractory APL (previous treatment should have included a retinoid and chemotherapy) characterised by the presence of the t(15;17) translocation and/or the presence of the pro-myelocytic leukaemia/retinoic-acid-receptor-alpha (PML/RAR?) gene.  The response rate of other acute myelogenous leukaemia subtypes to arsenic trioxide has not been examined."
asciminib;Antineoplastic agents;Scemblix is indicated for the treatment of adult patients with Philadelphia chromosome positive chronic myeloid leukaemia in chronic phase (Ph+ CML CP) previously treated with two or more tyrosine kinase inhibitors (see section 5.1).
asparaginase;Antineoplastic agents;Spectrila is indicated as a component of antineoplastic combination therapy for the treatment of acute lymphoblastic leukaemia (ALL) in paediatric patients from birth to 18 years and adults.
roxadustat;Antianemic preparations;Evrenzo is indicated for treatment of adult patients with symptomatic anaemia associated with chronic kidney disease (CKD).
telmisartan;Angiotensin II antagonists, plain;"Hypertension Treatment of essential hypertension in adults. Cardiovascular prevention Reduction of cardiovascular morbidity in patients with:  manifest atherothrombotic cardiovascular disease (history of coronary heart disease, stroke, or peripheral arterial disease) or; type-2 diabetes mellitus with documented target-organ damage."
deferasirox;"All other therapeutic products;Iron chelating agents";"Deferasirox Accord is indicated for the treatment of chronic iron overload due to frequent blood transfusions (?7 ml/kg/month of packed red blood cells) in patients with beta thalassaemia major aged 6 years and older. Deferasirox Accord is also indicated for the treatment of chronic iron overload due to blood transfusions when deferoxamine therapy is contraindicated or inadequate in the following patient groups:  in paediatric patients with beta thalassaemia major with iron overload due to frequent blood transfusions (?7 ml/kg/month of packed red blood cells) aged 2 to 5 years, in adult and paediatric patients with beta thalassaemia major with iron overload due to infrequent blood transfusions (&lt;7 ml/kg/month of packed red blood cells) aged 2 years and older, in adult and paediatric patients with other anaemias aged 2 years and older.  Deferasirox Accord is also indicated for the treatment of chronic iron overload requiring chelation therapy when deferoxamine therapy is contraindicated or inadequate in patients with non-transfusion-dependent thalassaemia syndromes aged 10 years and older."
"sitagliptin hydrochloride monohydrate;metformin hydrochloride";Drugs used in diabetes;For adult patients with type 2 diabetes mellitus: Sitagliptin/Metformin hydrochloride Mylan is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin. Sitagliptin/Metformin hydrochloride Mylan is indicated in combination with a sulphonylurea (i.e., triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea. Sitagliptin/Metformin hydrochloride Mylan is indicated as triple combination therapy with a peroxisome proliferator-activated receptor gamma (PPARg) agonist (i.e., a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPARg agonist. Sitagliptin/Metformin hydrochloride Mylan is also indicated as add-on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dose of insulin and metformin alone do not provide adequate glycaemic control.
"lumacaftor;ivacaftor";Other respiratory system products;Orkambi tablets are indicated for the treatment of cystic fibrosis (CF) in patients aged 6 years and older who are homozygous for the F508del mutation in the CFTR gene. Orkambi granules are indicated for the treatment of cystic fibrosis (CF) in children aged 1 year and older who are homozygous for the F508del mutation in the CFTR gene.
amino acids;Blood substitutes and perfusion solutions;Maapliv is indicated for the treatment of maple syrup urine disease (MSUD) presenting with an acute decompensation episode in patients from birth who are not eligible for an oral and enteral branched-chain amino acids free (BCAA- free) formulation.
